taxa,ISW
PI547429,0.594936365
PI547431,0.533662195
PI547438,0.488662195
PI547439,0.149936365
PI547445,-0.261337805
PI547447,0.058502786
PI547451,0.036996997
PI547456,0.408502786
PI547463,0.336996997
PI547470,-0.186337805
PI547478,0.179936365
PI547490,0.726399124
PI547496,0.840124954
PI547497,0.419936365
PI547498,0.579936365
PI547500,0.318271167
PI547501,0.305374829
PI547503,0.298271167
PI547512,-0.311337805
PI547513,0.752040028
PI547515,-0.336337805
PI547523,-0.245063635
PI547534,0.336996997
PI547536,0.876996997
PI547537,0.386996997
PI547539,0.235374829
PI547541,0.255374829
PI547548,0.370374829
PI547552,0.296996997
PI547554,0.373502786
PI547558,0.237040028
PI547581,0.108662195
PI547584,-0.096337805
PI547590,0.554936365
PI547591,0.270374829
PI547594,0.608502786
PI547596,0.402040028
PI547601,-0.116337805
PI547602,0.333271167
PI547610,0.287040028
PI547612,0.115374829
PI547614,0.442040028
PI547616,0.063502786
PI547623,0.178662195
PI547624,-0.103003003
PI547643,0.298271167
PI547645,-0.179625171
PI547646,0.705374829
PI547650,0.191996997
PI547652,0.230374829
PI547653,0.388662195
PI547664,0.350374829
PI547665,0.281996997
PI547807,-0.185063635
PI547815,-0.111337805
PI547834,0.533502786
PI547836,0.139936365
PI547837,0.313662195
PI547839,0.051399124
PI547840,0.078271167
PI547849,-0.160063635
PI547852,0.780124954
PI547857,-0.379625171
PI547858,-0.128600876
PI547860,0.955124954
PI547861,-0.286337805
PI547863,0.211996997
PI547870,-0.131337805
PI547871,0.015374829
PI547874,0.255124954
PI547877,0.100124954
PI547879,0.183502786
PI547880,0.035124954
PI547886,0.048271167
PI547888,0.328662195
PI547891,0.255124954
PI547893,-0.324625171
PI548193,-0.632959972
PI548199,-0.071497214
PI548205,-0.614875046
PI548209,-0.218003003
PI548243,0.233271167
PI548262,0.108502786
PI548265,-0.597959972
PI548276,0.176996997
PI548292,0.560124954
PI548313,-0.925965291
PI548334,0.923662195
PI548402S,-0.727959972
PI548478,-0.306337805
PI548509,0.041399124
PI548531,-0.108600876
PI548538,0.494936365
PI548541,-0.278600876
PI548542,-0.195063635
PI548547,0.238662195
PI548566,0.076996997
PI548574,0.006996997
PI548591,-0.119625171
PI548594,-0.719625171
PI548634,0.321399124
PI548641,0.404936365
PI548679,-0.091728833
PI548684,-0.430063635
PI548685,0.310124954
PI556780,0.225124954
PI556781,0.186399124
PI556816,-0.412959972
PI556889,0.154936365
PI556931,-0.538003003
PI557535,0.468502786
PI560207,0.427040028
PI567121A,-0.331497214
PI567128B,-0.265063635
PI567184,-0.278003003
PI567226,-0.251337805
PI567234A,NA
PI567491A,0.150124954
PI567517,0.593271167
PI567527,0.775124954
