Taxa,Population
PI399024,C2.SK
PI399059,C2.SK
PI399067,C2.SK
PI407821A,C2.SK
PI407843,C2.SK
PI407892C,C2.SK
PI407921,C2.SK
PI407946-2,C2.SK
PI407972B,C2.SK
PI408046,C2.SK
PI408071,C2.SK
PI408146,C2.SK
PI408251,C2.SK
PI408272A,C2.SK
PI416837,C2.SK
PI423767,C2.SK
PI423774,C2.SK
PI424368B,C2.SK
PI424410,C2.SK
PI458025,C2.SK
PI458060B,C2.SK
PI458067B,C2.SK
PI458097,C2.SK
PI458146,C2.SK
PI458194,C2.SK
PI458202B,C2.SK
PI458248,C2.SK
PI603160,C2.SK
PI603912,C2.SK
PI479759,C2.US
PI547094,C2.US
PI547402,C2.US
PI547410,C2.US
PI547428,C2.US
PI547432,C2.US
PI547434,C2.US
PI547480,C2.US
PI547481,C2.US
PI547482,C2.US
PI547511,C2.US
PI547518,C2.US
PI547528,C2.US
PI547530,C2.US
PI547540,C2.US
PI547547,C2.US
PI547549,C2.US
PI547559,C2.US
PI547562,C2.US
PI547569,C2.US
PI547573,C2.US
PI547580,C2.US
PI547586,C2.US
PI547589,C2.US
PI547604,C2.US
PI547609,C2.US
PI547626,C2.US
PI547627,C2.US
PI547631,C2.US
PI547635,C2.US
PI547636,C2.US
PI547638,C2.US
PI547654,C2.US
PI547660,C2.US
PI547796,C2.US
PI547797,C2.US
PI547804,C2.US
PI547814,C2.US
PI547867,C2.US
PI548549,C2.US
PI548586,C2.US
PI548628,C2.US
PI548677,C2.US
PI553041,C2.US
PI556687,C2.US
PI556850,C2.US
PI567782,C2.US
PI591498,C2.US
PI591509,C2.US
PI591520,C2.US
PI591537,C2.US
PI597386,C2.US
PI602449,C2.US
PI602450,C2.US
PI634762,C2.US
PI634881,C2.US
PI634893,C2.US
PI634910,C2.US
PI639562,C2.US
PI427139,C2.US
PI475783B,C2.US
PI542709,C2.US
PI547419,C2.US
PI547425,C2.US
PI547427,C2.US
PI547436,C2.US
PI547452,C2.US
PI547461,C2.US
PI547467,C2.US
PI547476,C2.US
PI547489,C2.US
PI547508,C2.US
PI547521,C2.US
PI547538,C2.US
PI547545,C2.US
PI547560,C2.US
PI547583,C2.US
PI547598,C2.US
PI547599,C2.US
PI547608,C2.US
PI547618,C2.US
PI547628,C2.US
PI547639,C2.US
PI547640,C2.US
PI547642,C2.US
PI547662,C2.US
PI547845,C2.US
PI547846,C2.US
PI547856,C2.US
PI547872,C2.US
PI547878,C2.US
PI547883,C2.US
PI547887,C2.US
PI548208,C2.US
PI548214,C2.US
PI548281,C2.US
PI548534,C2.US
PI548557,C2.US
PI548598,C2.US
PI548616,C2.US
PI548622,C2.US
PI548636,C2.US
PI562374,C2.US
PI584441,C2.US
