taxa,ISW
PI399093,0.007055
PI406707,-0.2105
PI406708,0.1072
PI406709,0.03852
PI407772A,-0.2356
PI407781B,-0.2493
PI407786A,-0.24
PI407788A,-0.3507
PI407795A,-0.1323
PI407796,-0.4459
PI407805C,-0.3535
PI407810,-0.4551
PI407818A,-0.4036
PI407849,0.03683
PI407850,0.08698
PI407851,-0.07055
PI407858,-0.03898
PI407860,-0.09401
PI407861B,0.2267
PI407862,0.05827
PI407863,-0.1495
PI407867A,-0.05451
PI407868A,-0.1821
PI407868B,-0.1605
PI407869B,0.05844
PI407872A,0.224
PI407872C,-0.093
PI407873,-0.1982
PI407875B,0.07088
PI407883,0.08984
PI407886,-0.3244
PI407892A,-0.1338
PI407895,-0.1091
PI407898A,-0.06637
PI407902A,-0.1317
PI407902B,0.2474
PI407907A,-0.06921
PI407913A,0.104
PI407914B,-0.224
PI407914D,-0.22
PI407918A,-0.2976
PI407925,-0.01432
PI407926A,0.2871
PI407926B,-0.02191
PI407927A,-0.1286
PI407932A,0.05665
PI407932B,-0.06489
PI407933,0.141
PI407934,-0.301
PI407939A,-0.09894
PI407939B,-0.1148
PI407947,-0.3036
PI407958,0.1801
PI407966A,-0.05675
PI407966B,0.004036
PI407973A,-0.3159
PI407976A,0.04602
PI407979,0.009095
PI407988B,0.08598
PI407992,0.005797
PI407998A,0.09254
PI408005,0.1177
PI408006,-0.0898
PI408013,-0.222
PI408014,-0.2438
PI408018,0.09637
PI408020D,-0.04171
PI408026,0.07993
PI408028,0.1764
PI408032A,0.1009
PI408032B,0.06394
PI408036,0.06717
PI408039,0.4293
PI408048A,0.0647
PI408050B,0.3291
PI408052A,0.05226
PI408052B,-0.04458
PI408052C,0.1576
PI408055A,-0.00972
PI408055C,0.04218
PI408058,0.3552
PI408064,0.1868
PI408067A,0.07718
PI408068B,-0.2141
PI408069,-0.02809
PI408070A,0.04457
PI408073,-0.02345
PI408074C,-0.2426
PI408075,0.2485
PI408079A,-0.09905
PI408089,-0.05237
PI408095A,-0.1256
PI408095B,0.2384
PI408103,-0.1389
PI408105A,-0.08769
PI408105B,-0.1213
PI408108,-0.09657
PI408109A,0.2418
PI408110A,-0.0785
PI408114,0.02287
PI408116,0.1144
PI408124B,-0.1906
PI408125B,0.2872
PI408126A,0.09601
PI408126B,-0.02063
PI408128,-0.04409
PI408133,-0.1659
PI408135A,-0.04184
PI408136,-0.03779
PI408137A,-0.3085
PI408138D,-0.176
PI408140A,-0.2262
PI408140B,-0.1094
PI408166A,-0.1112
PI408170,-0.158
PI408171,0.08939
PI408173,0.08955
PI408174,-0.09435
PI408178,0.3079
PI408179,0.2018
PI408181D,0.2893
PI408189,-0.1234
PI408194,0.04805
PI408196A,-0.1818
PI408197A,-0.1833
PI408199,0.1002
PI408200A,0.1107
PI408203A,0.06155
PI408203B,0.2311
PI408209A,0.2225
PI408209B,-0.09991
PI408209C,-0.00251
