taxa,ISW
PI407972B,0.136863957
PI408046,-0.196720107
PI408071,1.047363957
PI408146,-0.258220107
PI408251,-1.01945584
PI408272A,-0.517155696
PI416837,-0.937943995
PI423767,-0.060136043
PI423774,-0.932155696
PI424368B,0.063080038
PI424410,-0.611835899
PI458025,-1.319835899
PI458060B,-0.125136043
PI458067B,-0.058443995
PI458097,-0.138155696
PI458146,-0.088124198
PI458194,-0.168919962
PI458202B,-0.286708262
PI458248,-0.258155696
PI603160,0.221279893
PI603912,0.005863957
PI479759,-0.45145584
PI547094,-0.31195584
PI547402,0.349164101
PI547410,-0.22295584
PI547428,0.463875802
PI547432,0.173363957
PI547434,0.324580038
PI547480,0.633844304
PI547481,0.336344304
PI547482,0.395791738
PI547511,0.089863957
PI547518,0.092875802
PI547528,0.377844304
PI547530,-0.083208262
PI547540,-0.215220107
PI547547,-0.279155696
PI547549,0.036844304
PI547559,0.221664101
PI547562,0.327556005
PI547569,-0.103220107
PI547573,0.01704416
PI547580,-0.092220107
PI547586,0.213580038
PI547589,0.699863957
PI547604,0.980291738
PI547609,-0.03595584
PI547626,-0.436919962
PI547627,-0.069335899
PI547631,-0.250636043
PI547635,-0.117443995
PI547636,0.151844304
PI547638,-0.194943995
PI547654,0.11404416
PI547660,0.387279893
PI547796,-0.270835899
PI547797,-0.898835899
PI547804,0.142863957
PI547814,-0.497720107
PI547867,0.181779893
PI548549,-0.110720107
PI548586,-0.571136043
PI548628,0.112875802
PI548677,-0.154919962
PI553041,-0.758419962
PI556687,-0.451136043
PI556850,-0.276124198
PI567782,-0.818919962
PI591498,0.08254416
PI591509,0.691863957
PI591520,0.243791738
PI591537,-0.104208262
PI597386,-0.436636043
PI602449,-0.172443995
PI602450,-0.449136043
PI634762,0.402164101
PI634881,-0.08745584
PI634893,-0.561124198
PI634910,-0.037636043
PI639562,-0.732636043
PI427139,-0.419919962
PI475783B,-0.75395584
PI542709,0.297363957
PI547419,-0.408655696
PI547425,-0.176708262
PI547427,-1.089335899
